"Card Holder Name","Card Holder"
"Error! Payment failed, please try again later.","Error! Payment failed, please try again later."
"Error! Could not place order.","Error! Could not place order."
"Apple Pay is not properly configured","Apple Pay is not properly configured"
"Apple Pay is not supported on your browser","Apple Pay is not supported on your browser"
"Visa and MasterCard","Visa and MasterCard"
"Mada Online","Mada Online"
"Credit Card Information","Credit Card Information"
"Credit Card Number","Credit Card Number"
"Card Verification Number","Card Verification Number"
"Expiration Date","Expiration Date"
"Place Order","Place Order"
"Month","Month"
"Year","Year"
